Код дилера;Сервисный код дилера;;;Код SAP площадки;;Контрагент;;Модель;Код модели;Год производства;Рабочий объем;Тип двигателя;Стоимость работ;;;;;;Стоимость запчастей;;;;;;Стоимость запчастей PL-2;;;Итого - ремонт;;;;;;Итого - PL-2 ремонт;;
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;Elantra;AD;2016 -;1.6;Бензиновый;3080,00;4180,00;3080,00;5060,00;3080,00;4180,00;7612,00;9902,00;7612,00;13702,00;7612,00;9902,00;10961,60;6089,60;7921,60;10692,00;14082,00;10692,00;18762,00;10692,00;14082,00;16021,60;9169,60;12101,60
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;Elantra;AD;2016 -;2.0;Бензиновый;3080,00;4180,00;3080,00;5060,00;3080,00;4180,00;7940,00;10230,00;7940,00;14030,00;7940,00;10230,00;11224,00;6352,00;8184,00;11020,00;14410,00;11020,00;19090,00;11020,00;14410,00;16284,00;9432,00;12364,00
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;Veloster;FS;2011 - 2016;1.6;Бензиновый;3080,00;4180,00;3080,00;5060,00;3080,00;4400,00;6740,00;9030,00;6740,00;11110,00;6970,00;9260,00;8888,00;5576,00;7408,00;9820,00;13210,00;9820,00;16170,00;10050,00;13660,00;13948,00;8656,00;11808,00
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;Veloster;FS;2011 - 2016;1.6T GDI;Бензиновый;3740,00;5060,00;3740,00;5940,00;3740,00;5060,00;7292,00;7622,00;7292,00;9672,00;7292,00;7622,00;7737,60;5833,60;6097,60;11032,00;12682,00;11032,00;15612,00;11032,00;12682,00;13677,60;9573,60;11157,60
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;Sonata;LF;2017 - 2019;2.0;Бензиновый;3080,00;4180,00;3080,00;5060,00;3080,00;4180,00;7730,00;8060,00;7730,00;11860,00;7730,00;8060,00;9488,00;6184,00;6448,00;10810,00;12240,00;10810,00;16920,00;10810,00;12240,00;14548,00;9264,00;10628,00
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;Sonata;LF;2017 - 2019;2.4 GDi;Бензиновый;3080,00;4180,00;3080,00;5060,00;3080,00;4180,00;8386,00;8716,00;8386,00;12516,00;8386,00;8716,00;10012,80;6708,80;6972,80;11466,00;12896,00;11466,00;17576,00;11466,00;12896,00;15072,80;9788,80;11152,80
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;Sonata;DN8;2020 -;2.0;Бензиновый;3080,00;4180,00;3080,00;5060,00;3080,00;4180,00;7730,00;8060,00;7730,00;11860,00;7730,00;8060,00;9488,00;6184,00;6448,00;10810,00;12240,00;10810,00;16920,00;10810,00;12240,00;14548,00;9264,00;10628,00
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;Sonata;DN8;2020 -;2.5;Бензиновый;3080,00;4180,00;3080,00;5060,00;3080,00;4180,00;9674,00;10004,00;9674,00;12604,00;9674,00;10004,00;10083,20;7739,20;8003,20;12754,00;14184,00;12754,00;17664,00;12754,00;14184,00;15143,20;10819,20;12183,20
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;i40;VF;2011 - 2017;1.6;Бензиновый;3080,00;4180,00;3080,00;5060,00;3080,00;4400,00;7150,00;7480,00;7150,00;9430,00;7150,00;7480,00;7544,00;5720,00;5984,00;10230,00;11660,00;10230,00;14490,00;10230,00;11880,00;12604,00;8800,00;10384,00
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;i40;VF;2011 - 2017;2.0;Бензиновый;3080,00;4180,00;3080,00;4180,00;3080,00;4180,00;8790,00;11770,00;8790,00;11770,00;8790,00;11770,00;9416,00;7032,00;9416,00;11870,00;15950,00;11870,00;15950,00;11870,00;15950,00;13596,00;10112,00;13596,00
